,CANTON,EDAD,ES_URBANO,SEXO,ES_DEPENDIENTE,ESTADO_VIVIENDA,E.HACINAMIENTO,ALFABETIZACION,ESCOLARIDAD_PROMEDIO,ASISTENCIA_EDUCACION,FUERZA_DE_TRABAJO,SEGURO,N.EXTRANJERO,C.DISCAPACIDAD,POBLACION_TOTAL,SUPERFICIE,DENSIDAD_POBLACION,VIVIENDAS_INDIVIDUALES_OCUPADAS,PROMEDIO_DE_OCUPANTES,P.JEFAT.FEMENINA,P.JEFAT.COMPARTIDA,VOTO_R1,VOTO_R2,ES_ENTRENAMIENTO,PREDICCION_R1,PREDICCION_R2,PREDICCION_R2_CON_R1
0,BUENOS AIRES,39,1,0,0,0,0,1,8.7,0,0,0,0,1,45244,2384.2,19,12205,3.7,25.3,6.7,REPUBLICANO SOCIAL CRISTIANO,RESTAURACION NACIONAL,0,RESTAURACION NACIONAL,ACCION CIUDADANA,ACCION CIUDADANA
1,SANTA ANA,48,1,1,0,1,0,1,13.2,0,0,0,1,0,49123,61.4,800,14235,3.43,29.8,10.2,ACCION CIUDADANA,ACCION CIUDADANA,0,ACCION CIUDADANA,ACCION CIUDADANA,ACCION CIUDADANA
2,LIMON,60,0,1,0,1,0,1,8.0,0,0,1,0,0,94415,1765.8,53,26666,3.52,32.7,4.4,RESTAURACION NACIONAL,ACCION CIUDADANA,0,RESTAURACION NACIONAL,ACCION CIUDADANA,RESTAURACION NACIONAL
3,GOICOECHEA,31,1,0,0,0,0,1,12.5,0,0,0,0,0,115084,31.5,3653,32520,3.53,37.1,7.3,LIBERACION NACIONAL,RESTAURACION NACIONAL,0,INTEGRACION NACIONAL,ACCION CIUDADANA,ACCION CIUDADANA
4,PEREZ ZELEDON,21,1,1,0,0,0,1,8.1,1,0,0,0,0,134534,1905.5,71,38508,3.48,29.3,7.8,ACCION CIUDADANA,ACCION CIUDADANA,0,ACCION CIUDADANA,ACCION CIUDADANA,ACCION CIUDADANA
5,TURRIALBA,24,0,1,0,1,0,1,9.3,0,0,0,0,1,69616,1642.7,42,20453,3.4,26.5,8.3,INTEGRACION NACIONAL,RESTAURACION NACIONAL,0,LIBERACION NACIONAL,ACCION CIUDADANA,ACCION CIUDADANA
6,ALAJUELITA,40,1,1,0,0,0,1,10.7,0,0,0,0,0,77603,21.2,3666,19832,3.91,36.3,5.8,UNIDAD SOCIAL CRISTIANA,ACCION CIUDADANA,0,LIBERACION NACIONAL,RESTAURACION NACIONAL,RESTAURACION NACIONAL
7,CARTAGO,41,1,0,0,1,0,1,10.8,0,1,0,0,0,147898,287.8,514,38618,3.8,28.7,6.4,ACCION CIUDADANA,RESTAURACION NACIONAL,0,ACCION CIUDADANA,ACCION CIUDADANA,RESTAURACION NACIONAL
8,ESCAZU,54,1,0,0,1,0,1,8.1,0,0,0,0,0,56509,34.5,1638,16565,3.4,32.5,8.7,ACCION CIUDADANA,RESTAURACION NACIONAL,0,RESTAURACION NACIONAL,RESTAURACION NACIONAL,RESTAURACION NACIONAL
9,LEON CORTES CASTRO,30,1,0,0,0,0,1,8.1,0,1,0,0,0,12200,120.8,101,3377,3.61,21.7,5.7,LIBERACION NACIONAL,ACCION CIUDADANA,0,RESTAURACION NACIONAL,ACCION CIUDADANA,ACCION CIUDADANA
